DATE,SP500
07/27/10,1113.84
07/28/10,1106.13
07/29/10,1101.53
07/30/10,1101.6
08/02/10,1125.86
08/03/10,1120.46
08/04/10,1127.24
08/05/10,1125.81
08/06/10,1121.64
08/09/10,1127.79
08/10/10,1121.06
08/11/10,1089.47
08/12/10,1083.61
08/13/10,1079.25
08/16/10,1079.38
08/17/10,1092.54
08/18/10,1094.16
08/19/10,1075.63
08/20/10,1071.69
08/23/10,1067.36
08/24/10,1051.87
08/25/10,1055.33
08/26/10,1047.22
08/27/10,1064.59
08/30/10,1048.92
08/31/10,1049.33
09/01/10,1080.29
09/02/10,1090.1
09/03/10,1104.51
09/06/10,0
09/07/10,1091.84
09/08/10,1098.87
09/09/10,1104.18
09/10/10,1109.55
09/13/10,1121.9
09/14/10,1121.1
09/15/10,1125.07
09/16/10,1124.66
09/17/10,1125.59
09/20/10,1142.71
09/21/10,1139.78
09/22/10,1134.28
09/23/10,1124.83
09/24/10,1148.67
09/27/10,1142.16
09/28/10,1147.7
09/29/10,1144.73
09/30/10,1141.2
10/01/10,1146.24
10/04/10,1137.03
10/05/10,1160.75
10/06/10,1159.97
10/07/10,1158.06
10/08/10,1165.15
10/11/10,1165.32
10/12/10,1169.77
10/13/10,1178.1
10/14/10,1173.81
10/15/10,1176.19
10/18/10,1184.71
10/19/10,1165.9
10/20/10,1178.17
10/21/10,1180.26
10/22/10,1183.08
10/25/10,1185.62
10/26/10,1185.64
10/27/10,1182.45
10/28/10,1183.78
10/29/10,1183.26
11/01/10,1184.38
11/02/10,1193.57
11/03/10,1197.96
11/04/10,1221.06
11/05/10,1225.85
11/08/10,1223.25
11/09/10,1213.4
11/10/10,1218.71
11/11/10,1213.54
11/12/10,1199.21
11/15/10,1197.75
11/16/10,1178.34
11/17/10,1178.59
11/18/10,1196.69
11/19/10,1199.73
11/22/10,1197.84
11/23/10,1180.73
11/24/10,1198.35
11/25/10,0
11/26/10,1189.4
11/29/10,1187.76
11/30/10,1180.55
12/01/10,1206.07
12/02/10,1221.53
12/03/10,1224.71
12/06/10,1223.12
12/07/10,1223.75
12/08/10,1228.28
12/09/10,1233
12/10/10,1240.4
12/13/10,1240.46
12/14/10,1241.59
12/15/10,1235.23
12/16/10,1242.87
12/17/10,1243.91
12/20/10,1247.08
12/21/10,1254.6
12/22/10,1258.84
12/23/10,1256.77
12/24/10,0
12/27/10,1257.54
12/28/10,1258.51
12/29/10,1259.78
12/30/10,1257.88
12/31/10,1257.64
01/03/11,1271.87
01/04/11,1270.2
01/05/11,1276.56
01/06/11,1273.85
01/07/11,1271.5
01/10/11,1269.75
01/11/11,1274.48
01/12/11,1285.96
01/13/11,1283.76
01/14/11,1293.24
01/17/11,0
01/18/11,1295.02
01/19/11,1281.92
01/20/11,1280.26
01/21/11,1283.35
01/24/11,1290.84
01/25/11,1291.18
01/26/11,1296.63
01/27/11,1299.54
01/28/11,1276.34
01/31/11,1286.12
02/01/11,1307.59
02/02/11,1304.03
02/03/11,1307.1
02/04/11,1310.87
02/07/11,1319.05
02/08/11,1324.57
02/09/11,1320.88
02/10/11,1321.87
02/11/11,1329.15
02/14/11,1332.32
02/15/11,1328.01
02/16/11,1336.32
02/17/11,1340.43
02/18/11,1343.01
02/21/11,0
02/22/11,1315.44
02/23/11,1307.4
02/24/11,1306.1
02/25/11,1319.88
02/28/11,1327.22
03/01/11,1306.33
03/02/11,1308.44
03/03/11,1330.97
03/04/11,1321.15
03/07/11,1310.13
03/08/11,1321.82
03/09/11,1320.02
03/10/11,1295.11
03/11/11,1304.28
03/14/11,1296.39
03/15/11,1281.87
03/16/11,1256.88
03/17/11,1273.72
03/18/11,1279.2
03/21/11,1298.38
03/22/11,1293.77
03/23/11,1297.54
03/24/11,1309.66
03/25/11,1313.8
03/28/11,1310.19
03/29/11,1319.44
03/30/11,1328.26
03/31/11,1325.83
04/01/11,1332.41
04/04/11,1332.87
04/05/11,1332.63
04/06/11,1335.54
04/07/11,1333.51
04/08/11,1328.17
04/11/11,1324.46
04/12/11,1314.16
04/13/11,1314.41
04/14/11,1314.52
04/15/11,1319.68
04/18/11,1305.14
04/19/11,1312.62
04/20/11,1330.36
04/21/11,1337.38
04/22/11,0
04/25/11,1335.25
04/26/11,1347.24
04/27/11,1355.66
04/28/11,1360.48
04/29/11,1363.61
05/02/11,1361.22
05/03/11,1356.62
05/04/11,1347.32
05/05/11,1335.1
05/06/11,1340.2
05/09/11,1346.29
05/10/11,1357.16
05/11/11,1342.08
05/12/11,1348.65
05/13/11,1337.77
05/16/11,1329.47
05/17/11,1328.98
05/18/11,1340.68
05/19/11,1343.6
05/20/11,1333.27
05/23/11,1317.37
05/24/11,1316.28
05/25/11,1320.47
05/26/11,1325.69
05/27/11,1331.1
05/30/11,0
05/31/11,1345.2
06/01/11,1314.55
06/02/11,1312.94
06/03/11,1300.16
06/06/11,1286.17
06/07/11,1284.94
06/08/11,1279.56
06/09/11,1289
06/10/11,1270.98
06/13/11,1271.83
06/14/11,1287.87
06/15/11,1265.42
06/16/11,1267.64
06/17/11,1271.5
06/20/11,1278.36
06/21/11,1295.52
06/22/11,1287.14
06/23/11,1283.5
06/24/11,1268.45
06/27/11,1280.1
06/28/11,1296.67
06/29/11,1307.41
06/30/11,1320.64
07/01/11,1339.67
07/04/11,0
07/05/11,1337.88
07/06/11,1339.22
07/07/11,1353.22
07/08/11,1343.8
07/11/11,1319.49
07/12/11,1313.64
07/13/11,1317.72
07/14/11,1308.87
07/15/11,1316.14
07/18/11,1305.44
07/19/11,1326.73
07/20/11,1325.84
07/21/11,1343.8
07/22/11,1345.02
07/25/11,1337.43
07/26/11,1331.94
07/27/11,1304.89
07/28/11,1300.67
07/29/11,1292.28
08/01/11,1286.94
08/02/11,1254.05
08/03/11,1260.34
08/04/11,1200.07
08/05/11,1199.38
08/08/11,1119.46
08/09/11,1172.53
08/10/11,1120.76
08/11/11,1172.64
08/12/11,1178.81
08/15/11,1204.49
08/16/11,1192.76
08/17/11,1193.89
08/18/11,1140.65
08/19/11,1123.53
08/22/11,1123.82
08/23/11,1162.35
08/24/11,1177.6
08/25/11,1159.27
08/26/11,1176.8
08/29/11,1210.08
08/30/11,1212.92
08/31/11,1218.89
09/01/11,1204.42
09/02/11,1173.97
09/05/11,0
09/06/11,1165.24
09/07/11,1198.62
09/08/11,1185.9
09/09/11,1154.23
09/12/11,1162.27
09/13/11,1172.87
09/14/11,1188.68
09/15/11,1209.11
09/16/11,1216.01
09/19/11,1204.09
09/20/11,1202.09
09/21/11,1166.76
09/22/11,1129.56
09/23/11,1136.43
09/26/11,1162.95
09/27/11,1175.38
09/28/11,1151.06
09/29/11,1160.4
09/30/11,1131.42
10/03/11,1099.23
10/04/11,1123.95
10/05/11,1144.03
10/06/11,1164.97
10/07/11,1155.46
10/10/11,1194.89
10/11/11,1195.54
10/12/11,1207.25
10/13/11,1203.66
10/14/11,1224.58
10/17/11,1200.86
10/18/11,1225.38
10/19/11,1209.88
10/20/11,1215.39
10/21/11,1238.25
10/24/11,1254.19
10/25/11,1229.05
10/26/11,1242
10/27/11,1284.59
10/28/11,1285.09
10/31/11,1253.3
11/01/11,1218.28
11/02/11,1237.9
11/03/11,1261.15
11/04/11,1253.23
11/07/11,1261.12
11/08/11,1275.92
11/09/11,1229.1
11/10/11,1239.69
11/11/11,1263.85
11/14/11,1251.78
11/15/11,1257.81
11/16/11,1236.91
11/17/11,1216.13
11/18/11,1215.65
11/21/11,1192.98
11/22/11,1188.04
11/23/11,1161.79
11/24/11,0
11/25/11,1158.67
11/28/11,1192.55
11/29/11,1195.19
11/30/11,1246.96
12/01/11,1244.58
12/02/11,1244.28
12/05/11,1257.08
12/06/11,1258.47
12/07/11,1261.01
12/08/11,1234.35
12/09/11,1255.19
12/12/11,1236.47
12/13/11,1225.73
12/14/11,1211.82
12/15/11,1215.75
12/16/11,1219.66
12/19/11,1205.35
12/20/11,1241.3
12/21/11,1243.72
12/22/11,1254
12/23/11,1265.33
12/26/11,0
12/27/11,1265.43
12/28/11,1249.64
12/29/11,1263.02
12/30/11,1257.6
01/02/12,0
01/03/12,1277.06
01/04/12,1277.3
01/05/12,1281.06
01/06/12,1277.81
01/09/12,1280.7
01/10/12,1292.08
01/11/12,1292.48
01/12/12,1295.5
01/13/12,1289.09
01/16/12,0
01/17/12,1293.67
01/18/12,1308.04
01/19/12,1314.5
01/20/12,1315.38
01/23/12,1316
01/24/12,1314.65
01/25/12,1326.05
01/26/12,1318.43
01/27/12,1316.33
01/30/12,1313.01
01/31/12,1312.41
02/01/12,1324.09
02/02/12,1325.54
02/03/12,1344.9
02/06/12,1344.33
02/07/12,1347.05
02/08/12,1349.96
02/09/12,1351.95
02/10/12,1342.64
02/13/12,1351.77
02/14/12,1350.5
02/15/12,1343.23
02/16/12,1358.04
02/17/12,1361.23
02/20/12,0
02/21/12,1362.21
02/22/12,1357.66
02/23/12,1363.46
02/24/12,1365.74
02/27/12,1367.59
02/28/12,1372.18
02/29/12,1365.68
03/01/12,1374.09
03/02/12,1369.63
03/05/12,1364.33
03/06/12,1343.36
03/07/12,1352.63
03/08/12,1365.91
03/09/12,1370.87
03/12/12,1371.09
03/13/12,1395.95
03/14/12,1394.28
03/15/12,1402.6
03/16/12,1404.17
03/19/12,1409.75
03/20/12,1405.52
03/21/12,1402.89
03/22/12,1392.78
03/23/12,1397.11
03/26/12,1416.51
03/27/12,1412.52
03/28/12,1405.54
03/29/12,1403.28
03/30/12,1408.47
04/02/12,1419.04
04/03/12,1413.38
04/04/12,1398.96
04/05/12,1398.08
04/06/12,0
04/09/12,1382.2
04/10/12,1358.59
04/11/12,1368.71
